videoSequence,baseQP,GOP_id,mean_bits,std_bits,mad_bits,maxJump_bits,zcr_bits,range_bits,trend_bits,specEntropy_bits,mean_ypsnr,std_ypsnr,mad_ypsnr,maxJump_ypsnr,zcr_ypsnr,range_ypsnr,trend_ypsnr,specEntropy_ypsnr,mean_upsnr,std_upsnr,mad_upsnr,maxJump_upsnr,zcr_upsnr,range_upsnr,trend_upsnr,specEntropy_upsnr,mean_vpsnr,std_vpsnr,mad_vpsnr,maxJump_vpsnr,zcr_vpsnr,range_vpsnr,trend_vpsnr,specEntropy_vpsnr,mean_et,std_et,mad_et,maxJump_et,zcr_et,range_et,trend_et,specEntropy_et,mean_qpSI,std_qpSI,mean_qpTI,std_qpTI,mad_qpSI,mad_qpTI,maxJump_qpSI,maxJump_qpTI,zcr_qpSI,zcr_qpTI,range_qpSI,range_qpTI,trend_qpSI,trend_qpTI,specEntropy_qpSI,specEntropy_qpTI,mean_qtdFullness,std_qtdFullness,mean_qtdContrast,std_qtdContrast,mad_qtdFullness,mad_qtdContrast,maxJump_qtdFullness,maxJump_qtdContrast,zcr_qtdFullness,zcr_qtdContrast,range_qtdFullness,range_qtdContrast,trend_qtdFullness,trend_qtdContrast,specEntropy_qtdFullness,specEntropy_qtdContrast
BQMall,22,0,50446.75,100673.51808910574,58418.83870967742,568272.0,0.967741935483871,568272.0,-2512.7355973890835,2.2532425221278025,40.417178125,0.5620490457548919,0.4391548387096766,1.7471999999999994,0.8064516129032258,3.077300000000001,-0.0357854318418314,0.0009944125616643,44.340934375,0.2452199900209188,0.0996516129032259,0.3325999999999993,0.4193548387096774,1.1853000000000051,-0.0185536846088355,0.0002081882467997,46.004559375,0.4363454658147709,0.1400064516129038,0.5193000000000012,0.4193548387096774,1.7976000000000028,-0.0450370069056853,0.0005665483428633,53.625,31.36055444344057,48.12903225806452,110.0,0.967741935483871,117.0,0.187683284457478,0.3212431593954705,0.4892980313646619,0.0265190659492579,0.2957390712903225,0.0005115424828114,0.0529278219971148,0.0003974433333333,0.0586858973893086,0.0012650499999998,0.9666666666666668,0.4333333333333333,0.0591879146449502,0.00212958,-0.0001663442349599,2.4886816666668507e-05,0.0031981023689971,2.3016785958933144e-05,0.5786830357142856,0.1330783559866553,0.0,0.0,0.157258064516129,0.0,0.6160714285714286,0.0,0.9032258064516128,0.8333333333333334,0.6160714285714286,0.0,0.0030440423260402,0.0,0.1140331639312353,0.0
BQMall,22,1,67425.75,102949.06250635552,75740.64516129032,543208.0,0.967741935483871,543208.0,-2976.6069435247373,1.7759170260080814,39.907575,0.6292391606138321,0.5600516129032261,2.2031999999999954,0.6774193548387096,3.250699999999995,-0.0175295052502129,0.0011736019620222,44.057765625,0.4006684731556246,0.1735032258064515,0.7070000000000007,0.4838709677419355,1.5851000000000042,0.0148855737394759,0.0004901588910532,44.613134375,0.5796846549037319,0.4100709677419344,1.4410000000000025,0.5483870967741935,3.065399999999997,-0.0077309053069718,0.0009106626423521,76.875,38.19829021042696,60.74193548387097,153.0,0.967741935483871,158.0,-0.2516318229117396,0.2437144869823901,0.4863581655753152,0.0216841272517768,0.2954553562499999,0.0010726449804768,0.0421609042717998,0.0004151587096774,0.05672270617338,0.00084587,0.967741935483871,0.6774193548387096,0.05672270617338,0.0036831999999999,0.0004097365004649,-9.428739759719973e-05,0.0005751310847873,9.659141803455325e-05,0.6693638392857142,0.1063841340585735,-1.667838409585369,0.2303057361643754,0.1494815668202764,0.1677339908878614,0.3571428571428571,1.165646354707067,0.9032258064516128,0.6774193548387096,0.4017857142857142,1.2017876663463662,-0.0015287781937105,-0.0008416464888606,0.0435758393460442,0.0691389048212757
BQMall,22,2,64620.75,95088.04584929431,72062.70967741935,494712.0,0.967741935483871,501952.0,-3036.2024406394853,1.7186085525599752,39.97288125,0.5889385533724525,0.547793548387097,2.2941999999999965,0.8064516129032258,3.0441000000000003,0.0005513953268376,0.0010062030351609,44.49852812499999,0.3532777220495017,0.1689709677419355,0.7914999999999992,0.5483870967741935,1.6489000000000047,0.0112322580645161,0.0003791962054604,44.98713125,0.6088671470636575,0.4120741935483879,1.8566000000000005,0.6129032258064516,2.927900000000001,0.0224952795383595,0.000982453244186,74.6875,38.87113123836249,60.16129032258065,154.0,0.967741935483871,157.0,-0.8718191278024784,0.2874240591898683,0.4775202363807339,0.0126204273502557,0.2921534074999999,0.0013725242868821,0.020841839023967,0.0005000564516129,0.047358394252464,0.0020719399999999,0.935483870967742,0.5161290322580645,0.047358394252464,0.00453586,-0.000179632127626,7.914914388421094e-05,0.0033232703420915,0.0001461349538443,0.6939174107142856,0.0920940694991705,-1.6421373405893431,0.1945397320026228,0.1126152073732718,0.1332796259443958,0.3214285714285714,0.9555146106557124,0.9032258064516128,0.5806451612903226,0.4017857142857143,1.087725726391822,-0.003329526872711,-0.0056045578397904,0.0427378174603993,0.0532070810752784
BQMall,22,3,59507.0,90991.10518616642,69931.6129032258,475360.0,0.967741935483871,477376.0,-2727.2984580455964,1.7516948968465,40.03076875,0.5595839751756988,0.5045290322580648,2.039899999999996,0.5483870967741935,2.859999999999999,-0.0180056002270361,0.00095017394151,44.552434375,0.3331514000883967,0.1371999999999997,0.5287999999999968,0.4193548387096774,1.6154999999999973,-0.0155721313026203,0.0003580970933381,45.251903125,0.4773194020283845,0.2955903225806447,1.2745000000000033,0.5483870967741935,2.573500000000003,-0.0053230347176237,0.000659616000762,71.53125,38.899698243527546,61.54838709677419,153.0,0.967741935483871,158.0,-0.3498249929051177,0.2845668815732644,0.4626356238360357,0.0146434710932206,0.2960302640625,0.0018223883855617,0.0200970241764659,0.0007148177419354,0.032769886000336,0.0017186099999999,0.967741935483871,0.4193548387096774,0.0459679885580216,0.0068180299999998,-0.0009847784239935,0.0001630639466464,0.0026806677072215,0.0002558055914859,0.6573660714285714,0.1046194189225345,-1.6709246338298973,0.3230468932593672,0.1316244239631336,0.2442573122139684,0.4642857142857143,1.5826113794711256,0.8387096774193549,0.7096774193548387,0.4642857142857143,1.7874434071123897,-0.0006655675230076,0.0004061609925863,0.0539317569660858,0.1163808682888013
BQMall,22,4,51878.5,91410.81805645324,58686.1935483871,493080.0,0.967741935483871,497592.0,-2842.08797653959,2.025618393243528,40.010493749999995,0.5189475153721594,0.5070354838709682,2.155099999999998,0.7741935483870968,2.726300000000002,-0.0100787815722259,0.0007797992854398,44.696178125,0.2189202690684083,0.1124709677419353,0.4810999999999978,0.4838709677419355,1.1826000000000008,-0.0071401191940213,0.0001673558900787,45.845934375,0.4101656750702809,0.2457645161290321,1.279999999999994,0.4838709677419355,1.963499999999996,0.0219944186926497,0.0004930071569005,64.9375,34.526201554037186,53.83870967741935,131.0,0.967741935483871,134.0,-0.7200832466181061,0.2876996867754952,0.4595765357074052,0.0170616801149682,0.2965561328124999,0.0015279765200528,0.0317648730475865,0.0009289867741935,0.0458690745588954,0.0025210100000001,0.967741935483871,0.6774193548387096,0.0476415060814566,0.0070215799999999,-0.0003515113991988,-1.7072687541385118e-05,0.001103620809621,0.0001897896488941,0.6631324404761905,0.1035895938738702,-1.088201579079855,1.1186230934499404,0.1252880184331797,1.1499641025650795,0.3392857142857143,3.2430823518497167,0.7741935483870968,0.6774193548387096,0.4107142857142857,3.2804102038079312,-0.0025260033064403,0.0439167427304241,0.0562952140236333,1.404125017588244
BQMall,22,5,49594.75,92858.07005552883,58232.77419354839,505952.0,0.967741935483871,515760.0,-3223.9856210386906,2.1317303345085734,40.1291625,0.5610386788972307,0.4920354838709674,2.3622999999999976,0.8064516129032258,2.8442000000000007,0.0007604956957714,0.0009691489991594,44.513865624999994,0.2623393456114791,0.1325064516129041,0.375,0.6774193548387096,1.2306999999999988,-0.0075958944281524,0.000219954054086,46.126412499999994,0.3803278830085301,0.1730870967741927,0.6439999999999984,0.6129032258064516,1.6218000000000004,0.0068862359284836,0.0004139333990291,59.25,33.6804839632687,52.16129032258065,118.0,0.967741935483871,125.0,-1.0439882697947214,0.3016709049557123,0.4487952406190692,0.0269922994203463,0.2893649568749999,0.0017226015040728,0.0508897366695097,0.0007857035483871,0.0702305186287312,0.0020581,0.967741935483871,0.4516129032258064,0.078807776954103,0.00727147,0.0003874963039366,-0.0001627116602024,0.0026206297377219,0.0002326027339884,0.6361607142857143,0.1065366032480511,-1.5025621078139486,0.7222331944725775,0.1324884792626728,0.4698438994175551,0.3482142857142857,3.5570796513523817,0.9032258064516128,0.6774193548387096,0.5,3.627791419447707,-0.0044089625255077,0.000295505930569,0.0617974243865206,0.5871897927455594
BQMall,22,6,39840.75,90470.03460504202,48733.16129032258,506584.0,0.967741935483871,507816.0,-3043.231482357393,2.360643701010535,40.662556249999994,0.4984651893171051,0.3872193548387103,1.7046999999999954,0.6774193548387096,2.5848999999999975,0.0080718569671743,0.0007972724232681,44.890934375,0.2528317024343652,0.0823999999999998,0.4679000000000002,0.2258064516129032,0.9660999999999972,0.0176111815343865,0.0002089587820306,46.759290625,0.3022739437986832,0.1327741935483875,0.5488,0.4193548387096774,1.0917999999999992,0.0147822722542806,0.0002666705133858,48.15625,31.288086166103223,47.064516129032256,107.0,0.967741935483871,112.0,-0.9374704379907294,0.3677851249874341,0.4693363156510349,0.0166145178812834,0.2859450759374999,0.0014362466482703,0.0311043284637086,0.0007954274193548,0.0507041202375384,0.0016414999999999,0.967741935483871,0.6774193548387096,0.0507794469147389,0.00588381,-6.296986924189667e-05,-0.0001160324869927,0.0008722994610477,0.0001714318619667,0.5342261904761905,0.129151750565125,0.0225664218098324,1.6722921054457132,0.1529377880184332,2.3484968009871916,0.4375,3.787618003198376,0.8387096774193549,0.8709677419354839,0.5982142857142857,3.787618003198376,-0.0059574487253987,0.0503630535757696,0.1280767933549731,2.2016588702861117
BQMall,22,7,33903.0,80199.18338112926,42108.903225806454,452344.0,0.967741935483871,454464.0,-2609.333459464573,2.4181160567617064,41.034040625,0.4186223961246094,0.350829032258065,1.4756999999999962,0.6129032258064516,2.2449999999999974,-0.011002535237915,0.0005654932798476,45.072084375,0.1885955545429402,0.0684419354838708,0.2060999999999992,0.4193548387096774,0.9153999999999982,-0.0098105193453788,0.0001206227857211,47.18575,0.1994406067605086,0.0951645161290322,0.3213000000000008,0.4838709677419355,0.944599999999994,-0.0017796613376217,0.0001225488580395,43.40625,30.66233374903972,45.806451612903224,97.0,0.967741935483871,101.0,-0.3793397029609308,0.390130379763768,0.4697064905577326,0.0060243155496185,0.2880326668749999,0.0029561342822441,0.0098671243065765,0.0009471038709677,0.0183632509065053,0.0023232200000001,0.9032258064516128,0.4516129032258064,0.0217972140230209,0.01173708,-9.114521875925134e-05,0.0002446382556049,0.0008581566003283,0.0006263985809448,0.4734933035714285,0.1319701373139311,0.5864685407653879,1.6068850154187966,0.1693548387096774,2.2828569719721648,0.5357142857142857,3.755163528362246,0.8387096774193549,0.7419354838709677,0.6607142857142857,3.872113916506846,-0.0023092152384556,-0.0110734413625886,0.1376871014971934,1.9110402775800313
BQMall,22,8,26871.25,73968.5513812289,34272.51612903226,420744.0,0.967741935483871,422488.0,-2524.892630782329,2.551883053747294,41.361278125,0.3717228930385975,0.2654612903225814,1.2981000000000051,0.5483870967741935,1.9214000000000055,0.0052748651972377,0.0004725288578192,45.207571875,0.1281544069530364,0.0577387096774196,0.3117000000000018,0.6129032258064516,0.5316000000000045,0.0074292119950808,5.825703225863711e-05,47.622078125,0.1592135588886327,0.0730870967741922,0.2657000000000025,0.6129032258064516,0.6092999999999975,0.0114760192980795,8.050585017617084e-05,37.375,28.149988898754472,39.32258064516129,99.0,0.967741935483871,101.0,-0.7469492006432693,0.5198028933769991,0.4746918056083755,0.0234861712457045,0.3021404359374999,0.002637510709696,0.0448854542118766,0.0008571877419354,0.0653704159305134,0.00298985,0.967741935483871,0.6774193548387096,0.069531975728818,0.0092632999999998,-0.0002147596699494,0.0002713760382177,0.0012955310388688,0.0004836262120845,0.4334077380952381,0.1477412361228902,0.8753375934321944,1.3702610327070583,0.1839477726574501,1.5968074747342735,0.6696428571428572,3.683121506972288,0.967741935483871,0.4838709677419355,0.7232142857142857,3.8134998698572984,-0.0011025221743223,0.0035889177794521,0.1963140195381477,0.9554479617903604
BQMall,22,9,25536.0,60794.74358857022,32825.290322580644,345208.0,0.967741935483871,345264.0,-1848.1627092990257,2.4306469404991913,41.499878125,0.3449906699230928,0.2707580645161277,1.0183000000000035,0.5483870967741935,1.8044000000000011,-0.0164447072178602,0.0003959492618295,45.29551875,0.1484166568261034,0.065329032258064,0.1683999999999983,0.3548387096774194,0.647199999999998,-0.0040141140857061,7.753709459891559e-05,47.67020625000001,0.1791830504984712,0.0732774193548384,0.265900000000002,0.2903225806451613,0.8470000000000013,-0.0061254753571091,0.0001013108108877,39.0,28.15803615311267,42.25806451612903,94.0,0.967741935483871,96.0,-0.2860656513101882,0.3994446153947352,0.4646063037230867,0.0115241954264281,0.3036733790624999,0.0015357501575296,0.0150391842052455,0.0007463319354838,0.0441543874275444,0.00178808,0.8709677419354839,0.5806451612903226,0.0505630659254244,0.0057844499999999,-2.5236598581322072e-05,0.0001419936637971,0.0027926049194926,0.0001696700489956,0.4674479166666666,0.1269096125610623,0.7072132565994971,1.4175325551062974,0.1400729646697388,1.801915121370397,0.6190476190476191,3.712827495531422,0.7741935483870968,0.6129032258064516,0.6339285714285714,3.840260983293842,-0.0026059615029438,-0.0060660171206038,0.1611911100773535,1.7314157280381817
